pcp_id,panel_size,high_risk_patients,high_risk_pct,avg_panel_risk_score,avg_cost_per_patient
PCP0116,52.0,22.0,42.3,42.0,17279.0
PCP0140,37.0,15.0,40.5,41.7,18202.0
PCP0114,43.0,17.0,39.5,39.4,17032.0
PCP0118,52.0,20.0,38.5,41.4,13722.0
PCP0178,40.0,15.0,37.5,42.6,14749.0
PCP0014,51.0,19.0,37.3,43.4,21719.0
PCP0066,43.0,16.0,37.2,41.7,17753.0
PCP0174,49.0,17.0,34.7,42.3,18691.0
PCP0168,49.0,17.0,34.7,38.0,15961.0
PCP0096,44.0,15.0,34.1,40.1,16223.0
PCP0179,53.0,18.0,34.0,37.8,15509.0
PCP0181,45.0,15.0,33.3,40.3,19027.0
PCP0130,55.0,18.0,32.7,37.9,15150.0
PCP0081,43.0,14.0,32.6,40.4,16234.0
PCP0007,62.0,20.0,32.3,41.0,19540.0
PCP0067,50.0,16.0,32.0,36.8,14031.0
PCP0142,44.0,14.0,31.8,40.5,15931.0
PCP0199,44.0,14.0,31.8,38.8,14713.0
PCP0144,54.0,17.0,31.5,39.5,14974.0
PCP0108,51.0,16.0,31.4,37.3,15694.0
PCP0060,51.0,16.0,31.4,38.4,14261.0
PCP0176,58.0,18.0,31.0,37.8,15744.0
PCP0101,55.0,17.0,30.9,39.5,15917.0
PCP0122,49.0,15.0,30.6,37.8,17352.0
PCP0089,46.0,14.0,30.4,41.0,17066.0
PCP0028,46.0,14.0,30.4,39.7,17019.0
PCP0001,53.0,16.0,30.2,38.2,15327.0
PCP0120,40.0,12.0,30.0,39.2,14668.0
PCP0046,50.0,15.0,30.0,39.4,19396.0
PCP0041,50.0,15.0,30.0,39.7,15690.0
PCP0039,47.0,14.0,29.8,38.1,18509.0
PCP0167,54.0,16.0,29.6,37.0,18408.0
PCP0062,44.0,13.0,29.5,36.2,17188.0
PCP0177,51.0,15.0,29.4,38.8,17537.0
PCP0065,51.0,15.0,29.4,38.5,16321.0
PCP0173,48.0,14.0,29.2,40.6,17286.0
PCP0090,38.0,11.0,28.9,39.6,17337.0
PCP0191,52.0,15.0,28.8,40.7,18507.0
PCP0112,66.0,19.0,28.8,36.8,17759.0
PCP0147,52.0,15.0,28.8,38.0,18698.0
PCP0004,42.0,12.0,28.6,39.6,15444.0
PCP0102,56.0,16.0,28.6,41.3,17525.0
PCP0155,60.0,17.0,28.3,39.2,16737.0
PCP0086,46.0,13.0,28.3,37.3,16614.0
PCP0190,46.0,13.0,28.3,38.6,14825.0
PCP0068,46.0,13.0,28.3,39.9,16663.0
PCP0093,57.0,16.0,28.1,39.4,16648.0
PCP0031,50.0,14.0,28.0,38.2,16381.0
PCP0077,50.0,14.0,28.0,38.3,18378.0
PCP0196,50.0,14.0,28.0,36.3,18774.0
PCP0048,51.0,14.0,27.5,37.9,18494.0
PCP0022,51.0,14.0,27.5,37.2,16029.0
PCP0076,51.0,14.0,27.5,40.5,18102.0
PCP0104,55.0,15.0,27.3,37.0,16649.0
PCP0027,48.0,13.0,27.1,36.3,15798.0
PCP0026,48.0,13.0,27.1,38.4,13477.0
PCP0151,48.0,13.0,27.1,36.7,14345.0
PCP0132,48.0,13.0,27.1,38.8,16446.0
PCP0126,67.0,18.0,26.9,38.0,18256.0
PCP0149,52.0,14.0,26.9,39.2,17567.0
PCP0084,41.0,11.0,26.8,40.2,17839.0
PCP0047,60.0,16.0,26.7,38.5,18616.0
PCP0052,45.0,12.0,26.7,38.8,16041.0
PCP0162,53.0,14.0,26.4,37.5,18078.0
PCP0197,53.0,14.0,26.4,36.0,14801.0
PCP0010,42.0,11.0,26.2,35.8,16320.0
PCP0098,42.0,11.0,26.2,36.6,16422.0
PCP0123,46.0,12.0,26.1,37.0,14826.0
PCP0017,46.0,12.0,26.1,37.1,18471.0
PCP0127,46.0,12.0,26.1,36.0,17940.0
PCP0020,50.0,13.0,26.0,39.1,15454.0
PCP0006,54.0,14.0,25.9,38.0,16306.0
PCP0145,58.0,15.0,25.9,35.6,13638.0
PCP0175,43.0,11.0,25.6,37.0,15179.0
PCP0049,43.0,11.0,25.6,35.6,14942.0
PCP0115,47.0,12.0,25.5,37.4,15357.0
PCP0136,47.0,12.0,25.5,38.4,16793.0
PCP0074,47.0,12.0,25.5,37.0,20377.0
PCP0121,55.0,14.0,25.5,38.9,16574.0
PCP0131,51.0,13.0,25.5,33.6,15219.0
PCP0063,55.0,14.0,25.5,37.9,14926.0
PCP0030,47.0,12.0,25.5,39.0,15069.0
PCP0033,47.0,12.0,25.5,37.2,14776.0
PCP0011,51.0,13.0,25.5,37.3,16999.0
PCP0166,51.0,13.0,25.5,36.9,18022.0
PCP0153,51.0,13.0,25.5,37.8,14498.0
PCP0148,59.0,15.0,25.4,36.8,16053.0
PCP0184,67.0,17.0,25.4,40.3,18042.0
PCP0029,56.0,14.0,25.0,36.3,15872.0
PCP0038,52.0,13.0,25.0,37.2,17186.0
PCP0158,56.0,14.0,25.0,36.7,14134.0
PCP0164,44.0,11.0,25.0,39.5,16385.0
PCP0083,60.0,15.0,25.0,38.1,13993.0
PCP0088,65.0,16.0,24.6,36.9,15198.0
PCP0032,61.0,15.0,24.6,39.8,18353.0
PCP0091,53.0,13.0,24.5,36.5,14806.0
PCP0036,45.0,11.0,24.4,36.6,14702.0
PCP0042,50.0,12.0,24.0,37.4,16840.0
PCP0037,50.0,12.0,24.0,34.6,14035.0
PCP0188,50.0,12.0,24.0,37.8,15890.0
